4037,77
2012,76
5043,75
3067,72
2033,71
3080,71
3037,68
3081,68
4015,68
2079,67
5078,67
1021,66
4010,66
5031,66
5046,66
2042,65
2054,65
4059,65
4075,65
4077,65
5039,65
5060,65
5076,65
2051,64
2058,64
2062,64
5008,64
1002,63
1064,63
1077,63
4051,63
5037,63
1007,62
3005,62
3074,62
3079,62
5022,62
1047,61
2011,61
3017,61
3045,61
3062,61
4028,61
4035,61
5006,61
5090,61
1027,60
1032,60
1056,60
2044,60
2081,60
4050,60
5017,60
5049,60
2046,59
3013,59
3036,59
4030,59
4040,59
4047,59
4078,59
1037,58
1052,58
5085,58
1040,57
1060,57
1082,57
2017,57
2020,57
2069,57
2073,57
2090,57
3023,57
3029,57
3049,57
3077,57
4006,57
4013,57
4033,57
4072,57
4093,57
5092,57
2036,56
2070,56
4018,56
5014,56
5051,56
5087,56
2060,55
3078,55
4027,55
5062,55
2050,54
2055,54
2091,54
3012,54
3016,54
3046,54
4057,54
4073,54
5054,54
1025,53
1054,53
1068,53
2002,53
2039,53
3007,53
3032,53
3070,53
4007,53
4019,53
4049,53
4080,53
4081,53
5029,53
5063,53
5080,53
5084,53
1004,52
2018,52
2037,52
2041,52
2065,52
3041,52
3050,52
3059,52
3061,52
3083,52
4002,52
4014,52
4017,52
4034,52
4086,52
1008,51
1016,51
1026,51
1048,51
1053,51
2034,51
3011,51
3042,51
3060,51
4039,51
4043,51
4069,51
4082,51
4089,51
4097,51
5015,51
5061,51
5074,51
1001,50
1006,50
1013,50
1044,50
2075,50
3055,50
3066,50
4031,50
4062,50
4095,50
5045,50
5083,50
1014,49
1028,49
1065,49
1069,49
2030,49
2056,49
2066,49
2078,49
3010,49
3040,49
3047,49
3058,49
4060,49
4094,49
5068,49
1005,48
1019,48
1039,48
1071,48
2006,48
2057,48
2071,48
3001,48
3019,48
3038,48
3043,48
4023,48
4026,48
4053,48
4065,48
4088,48
5067,48
1022,47
1059,47
2022,47
2061,47
3002,47
4001,47
4012,47
4068,47
5009,47
5012,47
5053,47
5069,47
5071,47
5079,47
5089,47
1020,46
1023,46
1029,46
1050,46
1072,46
2016,46
2029,46
2043,46
3003,46
3015,46
3025,46
3071,46
4036,46
4041,46
4092,46
5026,46
1062,45
2027,45
2080,45
3008,45
3028,45
3053,45
3056,45
4029,45
4032,45
4071,45
5019,45
5059,45
5088,45
1009,44
2023,44
2048,44
2063,44
2086,44
3014,44
4079,44
5001,44
5007,44
5028,44
5082,44
1024,43
1078,43
2025,43
2064,43
2067,43
2072,43
3073,43
3075,43
4025,43
4048,43
4098,43
5077,43
1011,42
1036,42
1058,42
1063,42
1074,42
2019,42
2087,42
3021,42
3027,42
3064,42
3068,42
4058,42
4085,42
5070,42
1042,41
1046,41
2003,41
2031,41
2038,41
2049,41
3009,41
3018,41
3020,41
4064,41
5033,41
5035,41
5047,41
5058,41
2024,40
4024,40
5023,40
5050,40
1015,39
1075,39
2008,39
2082,39
3004,39
4090,39
5065,39
5081,39
1057,38
1061,38
4038,38
5032,38
1034,37
1035,37
2074,37
3039,37
3076,37
5025,37
5075,37
3022,36
4008,36
4084,36
5093,36
1012,35
1043,35
1051,35
1067,35
1079,35
2088,35
2089,35
4076,35
5027,35
2004,34
2010,34
2014,34
2021,34
5044,34
5018,33
5036,33
5041,33
5048,33
5030,32
1045,31
3035,31
5020,30
5013,29
5038,29
3026,28
4046,28
5002,26
2045,25
3034,25
1003,24
3033,23
5042,18
