2001,8
2002,8
2003,5
2004,3
2005,2
2006,4
2007,-1
2008,7
2009,1
2010,4
2011,9
2012,10
2013,8
2014,4
2015,7
2016,0
2017,0
2018,3
2019,7
2020,0
2021,0
2022,5
2023,10
2024,3
2025,1
2026,6
2027,10
2028,10
2029,2
2030,6
2031,5
2032,-1
2033,10
2034,2
2035,-1
2036,10
2037,5
2038,10
2039,0
2040,1
2041,8
2042,9
2043,2
2044,1
2045,1
2046,3
2047,8
2048,0
2049,7
2050,2
2051,10
2052,0
2053,-1
2054,8
2055,6
2056,6
2057,4
2058,5
2059,1
2060,10
2061,4
2062,6
2063,0
2064,4
2065,8
2066,9
2067,1
2068,-1
2069,0
2070,1
2071,10
2072,1
2073,9
2074,7
2075,1
2076,9
2077,9
2078,7
2079,10
2080,2
2081,8
2082,1
2083,5
2084,10
2085,8
2086,1
2087,5
2088,1
2089,2
2090,3
2091,2
