2001,3
2002,3
2003,9
2004,2
2005,8
2006,8
2007,4
2008,0
2009,-1
2010,6
2011,3
2012,5
2013,4
2014,0
2015,9
2016,7
2017,7
2018,9
2019,4
2020,7
2021,2
2022,7
2023,8
2024,9
2025,9
2026,10
2027,8
2028,6
2029,7
2030,4
2031,0
2032,8
2033,3
2034,6
2035,1
2036,9
2037,7
2038,3
2039,9
2040,1
2041,3
2042,2
2043,8
2044,9
2045,8
2046,8
2047,10
2048,9
2049,6
2050,9
2051,4
2052,1
2053,8
2054,6
2055,8
2056,6
2057,10
2058,5
2059,6
2060,9
2061,4
2062,9
2063,7
2064,0
2065,2
2066,5
2067,7
2068,2
2069,10
2070,7
2071,9
2072,7
2073,2
2074,7
2075,6
2076,5
2077,9
2078,0
2079,7
2080,10
2081,6
2082,9
2083,9
2084,2
2085,7
2086,3
2087,3
2088,3
2089,4
2090,9
2091,6
