5001,5
5002,5
5003,6
5004,7
5005,7
5006,2
5007,7
5008,9
5009,1
5010,-1
5011,4
5012,0
5013,3
5014,0
5015,8
5016,8
5017,4
5018,4
5019,6
5020,2
5021,10
5022,0
5023,5
5024,3
5025,2
5026,2
5027,4
5028,6
5029,8
5030,1
5031,9
5032,1
5033,8
5034,7
5035,8
5036,3
5037,7
5038,1
5039,4
5040,7
5041,10
5042,1
5043,7
5044,6
5045,5
5046,6
5047,1
5048,1
5049,4
5050,5
5051,10
5052,1
5053,10
5054,6
5055,1
5056,7
5057,6
5058,0
5059,4
5060,4
5061,8
5062,0
5063,4
5064,9
5065,6
5066,5
5067,7
5068,7
5069,1
5070,0
5071,8
5072,-1
5073,10
5074,6
5075,1
5076,1
5077,7
5078,10
5079,3
5080,4
5081,1
5082,6
5083,9
5084,0
5085,4
5086,1
5087,9
5088,5
5089,7
5090,9
5091,1
5092,5
5093,0
